flood_id,start_date,end_date,duration,total_rainfall,max_rainfall
225,2009-08-26,2009-08-26,1,11.296749,11.296749
226,2009-08-29,2009-08-29,1,31.260014,31.260014
227,2009-09-01,2009-09-01,1,12.832165,12.832165
228,2009-09-06,2009-09-06,1,30.68924,30.68924
229,2009-09-16,2009-09-16,1,14.348507,14.348507
230,2009-09-20,2009-09-20,1,32.38392,32.38392
231,2009-10-22,2009-10-22,1,13.813496,13.813496
232,2009-10-31,2009-10-31,1,12.354374,12.354374
233,2010-04-27,2010-04-27,1,13.637543,13.637543
234,2010-05-02,2010-05-02,1,19.903183,19.903183
235,2010-06-23,2010-06-23,1,17.454147,17.454147
236,2010-07-11,2010-07-11,1,24.476051,24.476051
237,2010-07-16,2010-07-16,1,26.055336,26.055336
238,2010-07-23,2010-07-23,1,29.333591,29.333591
239,2010-08-08,2010-08-08,1,17.448902,17.448902
240,2010-08-14,2010-08-14,1,13.2341385,13.2341385
241,2010-09-03,2010-09-03,1,16.418457,16.418457
242,2010-09-06,2010-09-06,1,21.669865,21.669865
243,2010-09-08,2010-09-09,2,91.7716,64.15796
244,2010-09-18,2010-09-18,1,18.793583,18.793583
245,2010-10-04,2010-10-04,1,16.2673,16.2673
246,2010-10-07,2010-10-07,1,14.647484,14.647484
247,2011-04-04,2011-04-04,1,11.336803,11.336803
248,2011-05-21,2011-05-21,1,13.715267,13.715267
249,2011-06-18,2011-06-18,1,12.708187,12.708187
250,2011-06-30,2011-06-30,1,11.627674,11.627674
251,2011-07-10,2011-07-11,2,67.916393,46.45729
252,2011-07-30,2011-07-30,1,25.912762,25.912762
253,2011-08-04,2011-08-04,1,22.043705,22.043705
254,2011-08-06,2011-08-06,1,14.1477585,14.1477585
255,2011-08-16,2011-08-16,1,21.687508,21.687508
256,2011-08-28,2011-08-28,1,12.477875,12.477875
257,2011-09-17,2011-09-17,1,135.67401,135.67401
258,2012-04-19,2012-04-19,1,21.535397,21.535397
259,2012-05-31,2012-05-31,1,24.90902,24.90902
260,2012-07-05,2012-07-05,1,12.579918,12.579918
261,2012-07-19,2012-07-19,1,19.10305,19.10305
262,2012-07-25,2012-07-25,1,13.1316185,13.1316185
263,2012-08-07,2012-08-07,1,17.474651,17.474651
264,2012-08-15,2012-08-15,1,23.937702,23.937702
265,2012-08-19,2012-08-19,1,18.696785,18.696785
266,2012-08-22,2012-08-22,1,15.693665,15.693665
267,2012-08-25,2012-08-25,1,14.229774,14.229774
268,2012-09-05,2012-09-06,2,36.745071,24.115562
269,2012-09-12,2012-09-12,1,19.901276,19.901276
270,2012-09-20,2012-09-20,1,18.964529,18.964529
271,2013-03-18,2013-03-18,1,11.825085,11.825085
272,2013-04-04,2013-04-04,1,11.820316,11.820316
273,2013-05-27,2013-05-27,1,13.709068,13.709068
274,2013-06-25,2013-06-25,1,15.862942,15.862942
275,2013-06-30,2013-06-30,1,11.5737915,11.5737915
276,2013-07-08,2013-07-08,1,15.016556,15.016556
277,2013-08-07,2013-08-07,1,21.77906,21.77906
278,2013-08-16,2013-08-16,1,30.55954,30.55954
279,2013-08-23,2013-08-23,1,13.386726,13.386726
280,2013-08-26,2013-08-27,2,48.594952,35.933495
281,2013-08-30,2013-08-30,1,20.7448,20.7448
282,2013-09-04,2013-09-04,1,18.919945,18.919945
283,2013-09-11,2013-09-12,2,38.667202,20.029068
284,2014-05-04,2014-05-04,1,11.331081,11.331081
285,2014-07-23,2014-07-24,2,34.857749999999996,20.580292
286,2014-08-13,2014-08-13,1,16.436577,16.436577
287,2014-08-16,2014-08-16,1,20.554066,20.554066
288,2014-08-19,2014-08-19,1,18.045425,18.045425
289,2014-08-26,2014-08-26,1,14.252186,14.252186
290,2014-09-01,2014-09-02,2,29.077530000000003,14.932156
291,2014-09-05,2014-09-05,1,20.692348,20.692348
292,2014-09-07,2014-09-07,1,11.956692,11.956692
293,2014-09-10,2014-09-10,1,21.248817,21.248817
294,2014-09-30,2014-10-01,2,40.821552,22.199154
